Ip1, Ip2, Ip3, Ip4, Phone, SurvivalTime, AverageAnswerTime, Outcome
182,140,81,40,16532,21,1.8,1
114,223,209,174,16722,1,1.8,1
120,239,198,45,17061,1,1.9,1
183,92,239,31,16532,57,2.4,1
115,221,115,70,17064,1,1.8,1
1,25,60,52,17016,2,1.9,1
115,201,199,247,17064,21,1.9,1
111,124,183,20,16533,61,2.2,1
183,219,4,50,16532,1,1.7,1
115,221,115,70,16799,27,1.9,1
211,141,217,150,16238,2,1.9,1
180,124,113,90,17053,20,1.6,1
183,219,4,50,17018,21,1.9,1
115,221,115,70,16532,1,2.3,1
183,219,4,50,17017,20,1.8,1
112,32,10,8,16521,2,2,1
183,219,4,50,16264,1,1.8,1
120,199,163,111,16773,21,1.9,1
113,251,13,225,16238,1,2.1,1
120,239,198,45,17016,41,1.9,1
183,219,4,50,16532,1,2,1
218,13,194,182,16532,1,1.7,1
115,201,199,247,16521,42,1.8,1
114,223,209,174,17064,20,1.8,1
220,189,88,99,17016,1,2.1,1
183,219,4,50,17056,20,2.1,1
183,92,239,31,16533,25,2.1,1
114,223,209,174,17050,1,2.1,1
180,164,92,122,16237,42,2,1
1,25,60,52,17171,2,2,1
115,201,199,247,16238,1,1.9,1
114,223,209,174,17050,1,2,1
115,201,199,247,16521,1,2.1,1
123,187,98,136,17056,21,2,1
115,221,115,70,16532,3,2.3,1
183,219,4,50,17054,1,1.8,1
220,189,88,99,16229,21,2.1,1
218,13,194,182,16532,39,1.8,1
218,13,194,182,17064,39,1.9,1
180,124,113,90,17088,21,1.8,1
183,219,4,50,16532,20,1.8,1
180,124,113,90,17056,20,1.9,1
223,94,70,150,16533,2,2.2,1
223,94,70,150,16253,37,1.9,1
59,33,90,134,17013,1,1.8,1
115,221,115,70,16533,37,1.8,1
115,201,199,247,16253,1,2.1,1
180,164,92,122,16233,1,2,1
183,0,180,15,16533,1,1.9,1
114,223,209,174,17100,21,1.9,1
183,219,4,50,16753,23,2.1,1
114,223,209,174,16534,2,1.9,1
114,223,209,174,16532,20,2,1
183,0,180,15,17064,20,1.7,1
123,187,98,136,16753,1,1.8,1
112,32,10,8,16532,25,1.7,1
180,164,92,122,17054,21,1.9,1
180,124,113,90,16750,39,1.8,1
182,140,81,40,16532,22,2.1,1
115,201,199,247,17064,41,1.8,1
182,140,81,40,16531,22,1.9,1
123,187,98,136,16753,20,1.9,1
218,13,194,182,16253,44,2.1,1
123,187,98,136,16521,38,2.1,1
183,0,180,15,17088,21,1.7,1
182,140,81,40,16233,42,2,1
218,13,194,182,16521,43,2,1
218,13,194,182,16532,22,1.9,1
223,94,70,150,16532,22,2,1
123,187,98,136,17171,39,1.7,1
1,84,8,222,17056,29,1.7,1
182,140,81,40,16521,40,2.2,1
125,89,224,95,17019,1,1.7,1
36,248,143,27,16532,22,1.9,1
36,248,143,27,16229,19,1.9,1
125,89,224,95,17053,1,1.9,1
120,239,198,45,17054,1,2,1
120,239,198,45,15874,2,1.9,1
182,140,81,40,18411,1,2.1,1
183,0,180,15,16534,42,1.9,1
59,33,90,134,17013,20,1.8,1
59,33,90,134,17013,22,1.8,1
1,84,8,222,17064,56,1.7,1
1,84,8,222,16532,34,1.7,1
120,42,214,253,16752,23,2,1
125,89,224,95,16533,1,1.8,1
180,164,92,122,16752,20,1.8,1
125,89,224,95,17064,23,1.8,1
114,223,209,174,17100,39,1.8,1
125,89,224,95,16532,20,2.2,1
59,33,90,134,17013,43,1.8,1
120,239,198,45,15874,19,1.8,1
59,33,90,134,17013,40,1.9,1
218,13,194,182,16533,1,1.8,1
182,140,81,40,17054,21,2.2,1
218,13,194,182,17018,1,1.8,1
1,84,8,222,16752,46,1.8,1
114,223,209,174,17102,45,1.7,1
114,223,209,174,16521,43,1.7,1
59,33,90,134,17013,43,2,1
125,89,224,95,16752,42,2,1
125,89,224,95,15874,23,2,1
125,89,224,95,16521,44,1.8,1
125,89,224,95,16762,41,2,1
125,89,224,95,17012,42,1.9,1
218,13,194,182,18411,22,1.7,1
183,0,180,15,18411,42,1.9,1
182,140,81,40,17064,1,2,1
120,239,198,45,15874,42,1.8,1
218,13,194,182,15874,42,1.7,1
182,140,81,40,16533,21,1.8,1
223,94,70,150,16533,1,2,1
120,239,198,45,17102,40,2,1
115,201,199,247,16722,22,1.8,1
114,223,209,174,16713,1,1.6,1
120,42,214,253,16253,1,1.7,1
36,248,143,27,16532,19,1.9,1
182,140,81,40,16762,47,2.1,1
115,221,115,70,18411,45,2,1
120,42,214,253,17017,1,2.1,1
218,13,194,182,16532,1,1.8,1
1,25,60,52,17018,2,1.8,1
120,239,198,45,16253,1,1.8,1
120,239,198,45,13524,1,1.9,1
121,231,181,236,17013,1,2.1,1
223,94,70,150,17064,21,1.9,1
120,239,198,45,16253,1,1.8,1
115,221,115,70,16753,1,2.1,1
